SeqNo,pm_name,pm_Longitude,pm_Latitude,pm_unit,pm_location
167,萬壽1號公園,121.5892181400,24.9874706270,南港公園管理所,萬壽路61巷旁，棲霞山莊旁
150,萬壽2號公園,121.5895614600,24.9873695370,南港公園管理所,萬壽路61巷旁，棲霞山莊旁
668,萬壽3號公園,121.5860824600,24.9854202270,南港公園管理所,萬壽路與政大一街間
823,萬興櫻花生態景觀公園,121.5731031000,24.9915411000,南港公園管理所,新光路一段66巷6弄
726,試院公園,121.5473175000,24.9877891540,南港公園管理所,木柵路1段89巷
148,福興公園,121.5481567400,25.0039997100,南港公園管理所,福興路63巷4號
589,樟林公園,121.5592117300,24.9846401210,南港公園管理所,忠順街1段121巷7弄12號前
743,樟新公園,121.5569534300,24.9791908260,南港公園管理所,一壽街49之3號
770,樟樹公園,121.5593719500,24.9827194210,南港公園管理所,忠順街1段26巷26弄口
178,樟興公園,121.5541229200,24.9806709290,南港公園管理所,木新路3段與辛亥路7段口
229,興旺公園,121.5504608200,25.0058403020,南港公園管理所,福興路82巷內
240,興家公園,121.5608215300,24.9947299960,南港公園管理所,興隆路三段207巷10弄旁
756,興泰公園,121.5554809600,25.0048103330,南港公園管理所,辛亥路四段166巷內
119,興隆公園,121.5510864300,25.0001392360,南港公園管理所,文山區仙岩路128號
629,興福公園,121.5459671000,24.9971199040,南港公園管理所,景華街121巷底
89,興德綠色步道,121.5595397900,24.9947700500,園藝工程隊(南區分隊),興隆路3段296號至304巷口(海巡署前)
577,興豐公園,121.5512695300,25.0001907350,南港公園管理所,興隆路2段123號旁
504,文山50號綠地,121.5750885000,24.9907894130,園藝工程隊(南區分隊),秀明路2段24巷
265,文山木柵60號綠地,121.5832519500,25.0004291530,園藝工程隊(南區分隊),新光路2段與萬福橋旁，動物園公務門前方
536,木柵14號綠地,121.5515289300,24.9916305540,園藝工程隊(南區分隊),懷恩隧道口南側出入口
553,木柵17號(秀明綠地),121.5648117100,24.9890308380,園藝工程隊(南區分隊),久康街木柵16號公園對面
699,木柵49號綠地,121.5736694300,24.9930801390,園藝工程隊(南區分隊),新光路1段185
677,指南綠地,121.5796737700,24.9830093380,園藝工程隊(南區分隊),指南路3段24巷5號旁
